"ArchivePath","Source","MB"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-input-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-input-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-input-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-input-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-input-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-input-experiment\src\lib.rs","0.006"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-layouts-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-layouts-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-layouts-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-layouts-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-layouts-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-layouts-experiment\src\lib.rs","0.024"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-menus-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-menus-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-menus-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-menus-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-menus-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-menus-experiment\src\lib.rs","0.024"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-microinteractions-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-microinteractions-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-microinteractions-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-microinteractions-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-microinteractions-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-microinteractions-experiment\src\lib.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-motion-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-motion-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-motion-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-motion-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-motion-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-motion-experiment\src\lib.rs","0.004"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-overlays-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-overlays-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-overlays-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-overlays-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-overlays-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-overlays-experiment\src\lib.rs","0.017"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\bounds.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\bounds.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\hit.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\hit.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\image.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\image.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\layer.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\layer.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\lib.rs","0.001"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\paint.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\paint.rs","0.006"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\primitive.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\primitive.rs","0.006"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\shape.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\shape.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\text.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\text.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\theme.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\theme.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\transform.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\src\transform.rs","0.002"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\tests\primitive_creation.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-primitives\tests\primitive_creation.rs","0.004"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-pulse-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-pulse-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-pulse-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-pulse-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-pulse-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-pulse-experiment\src\lib.rs","0.014"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-textures-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-textures-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-textures-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-textures-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-textures-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-textures-experiment\src\lib.rs","0.019"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-transitions-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-transitions-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-transitions-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-transitions-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-transitions-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-transitions-experiment\src\lib.rs","0.003"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-typography-experiment\.gitignore","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-typography-experiment\.gitignore","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-typography-experiment\Cargo.toml","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-typography-experiment\Cargo.toml","0"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-typography-experiment\src\lib.rs","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\crates\ordo-ux-typography-experiment\src\lib.rs","0.024"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\frontier-lab\CRATE_LAYOUT.md","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\frontier-lab\CRATE_LAYOUT.md","0.007"
"primitive-math-store\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\frontier-lab\README.md","F:\all primitves\primitves math\Ordo crate store backups\Rendering primitive create for ordo-20260504-160958\frontier-lab\README.md","0.002"
